,bat_id,pulse_id,distance_to_edge [cm],"flight_id (0:first, 1:last)"
597,MF,0,5,0
598,MF,0,26,0
599,MF,1,0,0
600,MF,1,5,0
601,MF,1,60,0
602,MF,1,9,0
603,MF,2,1,0
604,MF,2,3,0
605,MF,2,63,0
606,MF,3,1,0
607,MF,3,4,0
608,MF,3,9,0
609,MF,4,0,0
610,MF,4,3,0
611,MF,4,14,0
612,MF,5,3,0
613,MF,5,61,0
614,MF,5,7,0
615,MF,6,0,0
616,MF,6,64,0
617,MF,6,59,0
618,MF,7,2,0
619,MF,7,65,0
620,MF,7,57,0
621,MF,8,1,0
622,MF,8,64,0
623,MF,8,65,0
624,MF,9,1,0
625,MF,9,62,0
626,MF,10,2,0
627,MF,10,2,0
628,MF,11,7,0
629,MF,11,7,0
630,MF,11,7,0
631,MF,11,8,0
632,MF,11,57,0
633,MF,12,4,0
634,MF,12,11,0
635,MF,12,10,0
636,MF,12,11,0
637,MF,12,61,0
638,MF,13,3,0
639,MF,13,0,0
640,MF,13,4,0
641,MF,13,3,0
642,MF,13,3,0
643,MF,14,14,0
644,MF,15,4,0
645,MF,16,7,0
646,MF,16,6,0
647,MF,16,5,0
648,MF,16,64,0
649,MF,17,2,0
650,MF,18,5,0
651,MF,19,14,0
652,MF,19,66,0
653,MF,20,9,0
654,MF,21,4,0
655,MF,21,3,0
656,MF,21,4,0
657,MF,21,58,0
658,MF,22,1,0
659,MF,22,66,0
660,MF,23,1,0
661,MF,23,66,0
662,MF,24,65,0
663,MF,25,2,0
664,MF,25,65,0
665,MF,26,4,0
666,MF,26,65,0
667,MF,27,1,0
668,MF,28,9,0
669,MF,28,9,0
670,MF,28,8,0
671,MF,29,4,0
672,MF,29,65,0
673,MF,30,14,0
674,MF,31,15,0
675,MF,31,66,0
676,MF,32,20,0
677,MF,32,19,0
678,MF,32,56,0
679,MF,33,21,0
680,MF,34,21,0
681,MF,35,0,0
682,MF,35,19,0
683,MF,35,20,0
684,MF,35,54,0
685,MF,41,13,0
686,MF,41,13,0
687,MF,41,15,0
688,MF,42,8,0
689,MF,42,8,0
690,MF,42,8,0
691,MF,43,3,0
692,MF,43,3,0
693,MF,43,3,0
694,MF,44,1,0
695,MF,45,1,0
696,MF,46,0,0
697,MF,47,1,0
698,MF,53,1,0
699,MH,0,0,0
700,MH,0,2,0
701,MH,0,60,0
702,MH,1,2,0
703,MH,1,1,0
704,MH,1,64,0
705,MH,1,16,0
706,MH,2,2,0
707,MH,2,0,0
708,MH,2,63,0
709,MH,2,18,0
710,MH,3,2,0
711,MH,3,4,0
712,MH,3,63,0
713,MH,4,0,0
714,MH,4,0,0
715,MH,4,63,0
716,MH,4,31,0
717,MH,5,2,0
718,MH,5,65,0
719,MH,6,1,0
720,MH,6,61,0
721,MH,7,3,0
722,MH,7,3,0
723,MH,7,1,0
724,MH,7,56,0
725,MH,8,6,0
726,MH,8,7,0
727,MH,8,4,0
728,MH,8,49,0
729,MH,9,11,0
730,MH,9,13,0
731,MH,9,53,0
732,MH,10,18,0
733,MH,10,18,0
734,MH,10,61,0
735,MH,10,54,0
736,MH,11,12,0
737,MH,11,10,0
738,MH,11,62,0
739,MH,11,54,0
740,MH,12,11,0
741,MH,12,10,0
742,MH,12,11,0
743,MH,12,9,0
744,MH,12,64,0
745,MH,13,6,0
746,MH,13,5,0
747,MH,13,6,0
748,MH,13,64,0
749,MH,14,6,0
750,MH,14,6,0
751,MH,14,5,0
752,MH,14,64,0
753,MH,15,0,0
754,MH,16,1,0
755,MH,16,7,0
756,MH,17,1,0
757,MH,18,0,0
758,MH,18,63,0
759,MH,19,3,0
760,MH,19,57,0
761,MH,20,3,0
762,MH,20,54,0
763,MH,21,19,0
764,MH,21,18,0
765,MH,21,64,0
766,MH,22,19,0
767,MH,22,21,0
