Bat ID,Corr coef,tau [ms],with pulse or echo,first or last
F,0.359236784,360,pulse direction,first
F,0.32528314,370,pulse direction,first
F,0.291170221,380,pulse direction,first
F,0.257071901,390,pulse direction,first
F,0.223068959,400,pulse direction,first
F,0.18934726,410,pulse direction,first
F,0.156064436,420,pulse direction,first
F,0.123472808,430,pulse direction,first
F,0.09173422,440,pulse direction,first
F,0.060806839,450,pulse direction,first
F,0.03104767,460,pulse direction,first
F,0.002821558,470,pulse direction,first
F,-0.023886272,480,pulse direction,first
F,-0.027478144,490,pulse direction,first
F,-0.060013528,500,pulse direction,first
F,-0.094399525,510,pulse direction,first
F,-0.140542738,520,pulse direction,first
F,-0.162387465,530,pulse direction,first
F,-0.211456446,540,pulse direction,first
F,-0.233703604,550,pulse direction,first
F,-0.253855249,560,pulse direction,first
F,-0.277749071,570,pulse direction,first
F,-0.287022443,580,pulse direction,first
F,-0.299618978,590,pulse direction,first
F,-0.297751533,600,pulse direction,first
F,-0.56512318,-100,echo direction,first
F,-0.541798046,-90,echo direction,first
F,-0.50170416,-80,echo direction,first
F,-0.465299435,-70,echo direction,first
F,-0.423341935,-60,echo direction,first
F,-0.380366017,-50,echo direction,first
F,-0.336993734,-40,echo direction,first
F,-0.30915737,-30,echo direction,first
F,-0.264277974,-20,echo direction,first
F,-0.231984253,-10,echo direction,first
F,-0.191892775,0,echo direction,first
F,-0.151221773,10,echo direction,first
F,-0.105056997,20,echo direction,first
F,-0.059427408,30,echo direction,first
F,-0.014856714,40,echo direction,first
F,0.028347566,50,echo direction,first
F,0.070234599,60,echo direction,first
F,0.110661278,70,echo direction,first
F,0.14962316,80,echo direction,first
F,0.187147767,90,echo direction,first
F,0.223270208,100,echo direction,first
F,0.258024868,110,echo direction,first
F,0.291533061,120,echo direction,first
F,0.322291166,130,echo direction,first
F,0.354723924,140,echo direction,first
F,0.384608463,150,echo direction,first
F,0.41332548,160,echo direction,first
F,0.440873714,170,echo direction,first
F,0.46723873,180,echo direction,first
F,0.492399951,190,echo direction,first
F,0.516307789,200,echo direction,first
F,0.535966825,210,echo direction,first
F,0.560076904,220,echo direction,first
F,0.579913488,230,echo direction,first
F,0.598142644,240,echo direction,first
F,0.614926646,250,echo direction,first
F,0.630065117,260,echo direction,first
F,0.643479851,270,echo direction,first
F,0.655093578,280,echo direction,first
F,0.664831263,290,echo direction,first
F,0.672636956,300,echo direction,first
F,0.678415362,310,echo direction,first
F,0.682114164,320,echo direction,first
F,0.683674078,330,echo direction,first
F,0.683038012,340,echo direction,first
F,0.680156196,350,echo direction,first
F,0.674977242,360,echo direction,first
F,0.6674515,370,echo direction,first
F,0.657528808,380,echo direction,first
F,0.645187814,390,echo direction,first
F,0.630312876,400,echo direction,first
F,0.612876527,410,echo direction,first
F,0.592818675,420,echo direction,first
F,0.570099458,430,echo direction,first
F,0.544759008,440,echo direction,first
F,0.516481593,450,echo direction,first
F,0.485365003,460,echo direction,first
F,0.451446931,470,echo direction,first
F,0.414658019,480,echo direction,first
F,0.429094666,490,echo direction,first
F,0.415672441,500,echo direction,first
F,0.405516825,510,echo direction,first
F,0.416629067,520,echo direction,first
F,0.383396191,530,echo direction,first
F,0.396653381,540,echo direction,first
F,0.365682885,550,echo direction,first
F,0.333545781,560,echo direction,first
F,0.295350134,570,echo direction,first
F,0.265965395,580,echo direction,first
F,0.230530701,590,echo direction,first
F,0.185908883,600,echo direction,first
F,0.396349683,-100,pulse direction,last
F,0.492130278,-90,pulse direction,last
F,0.568295136,-80,pulse direction,last
F,0.388574078,-70,pulse direction,last
F,0.470005716,-60,pulse direction,last
F,0.486195043,-50,pulse direction,last
F,0.497706228,-40,pulse direction,last
F,0.583279668,-30,pulse direction,last
F,0.652934697,-20,pulse direction,last
F,0.713302286,-10,pulse direction,last
F,0.699878517,0,pulse direction,last
F,0.714436029,10,pulse direction,last
F,0.759151791,20,pulse direction,last
F,0.793639413,30,pulse direction,last
F,0.816617096,40,pulse direction,last
F,0.82798847,50,pulse direction,last
F,0.828670536,60,pulse direction,last
F,0.820211263,70,pulse direction,last
F,0.797784555,80,pulse direction,last
F,0.782844478,90,pulse direction,last
F,0.757033259,100,pulse direction,last
F,0.728033893,110,pulse direction,last
F,0.696638795,120,pulse direction,last
F,0.663387005,130,pulse direction,last
F,0.628621906,140,pulse direction,last
F,0.592544783,150,pulse direction,last
F,0.555259557,160,pulse direction,last
F,0.516914886,170,pulse direction,last
F,0.477309042,180,pulse direction,last
F,0.436534667,190,pulse direction,last
F,0.394587237,200,pulse direction,last
F,0.351476419,210,pulse direction,last
F,0.307235303,220,pulse direction,last
F,0.262111546,230,pulse direction,last
F,0.215853046,240,pulse direction,last
F,0.168759644,250,pulse direction,last
F,0.121008111,260,pulse direction,last
F,0.07280933,270,pulse direction,last
F,0.024407938,280,pulse direction,last
F,-0.023922415,290,pulse direction,last
F,-0.07152821,300,pulse direction,last
F,-0.118761461,310,pulse direction,last
F,-0.164640139,320,pulse direction,last
F,-0.209562686,330,pulse direction,last
F,-0.252819677,340,pulse direction,last
F,-0.294113565,350,pulse direction,last
F,-0.333117625,360,pulse direction,last
F,-0.369514676,370,pulse direction,last
F,-0.402981854,380,pulse direction,last
F,-0.433181412,390,pulse direction,last
F,-0.459748774,400,pulse direction,last
F,-0.482092881,410,pulse direction,last
F,-0.500116502,420,pulse direction,last
F,-0.513117524,430,pulse direction,last
F,-0.520494438,440,pulse direction,last
F,-0.52157784,450,pulse direction,last
F,-0.51565696,460,pulse direction,last
F,-0.502273111,470,pulse direction,last
F,-0.48028187,480,pulse direction,last
F,-0.449734221,490,pulse direction,last
F,-0.410574693,500,pulse direction,last
F,-0.399079756,510,pulse direction,last
F,-0.398275667,520,pulse direction,last
F,-0.345368332,530,pulse direction,last
F,-0.476928698,540,pulse direction,last
F,-0.439130921,550,pulse direction,last
F,-0.383708516,560,pulse direction,last
F,-0.320246339,570,pulse direction,last
F,-0.249941337,580,pulse direction,last
F,-0.374368336,590,pulse direction,last
F,-0.30839841,600,pulse direction,last
F,-0.085814372,-100,echo direction,last
F,-0.019167004,-90,echo direction,last
F,0.053082344,-80,echo direction,last
F,-0.013633832,-70,echo direction,last
F,0.058385083,-60,echo direction,last
F,0.09923076,-50,echo direction,last
F,0.135654844,-40,echo direction,last
F,0.206849091,-30,echo direction,last
F,0.285926138,-20,echo direction,last
F,0.363466317,-10,echo direction,last
